År;Antal dgr;Tabellnr;Inkomst fr.o.m.;Inkomst t.o.m.;Kolumn 1;Kolumn 2;Kolumn 3;Kolumn 4;Kolumn 5;Kolumn 6;Kolumn 7
2024;30B;29;1;2000;0;0;0;0;0;0;
2024;30B;29;2001;2100;151;0;150;1;151;22;
2024;30B;29;2101;2200;153;0;150;3;153;52;
2024;30B;29;2201;2300;164;0;158;5;164;82;
2024;30B;29;2301;2400;174;0;166;8;174;112;
2024;30B;29;2401;2500;185;0;175;10;185;142;
2024;30B;29;2501;2600;195;0;183;12;195;172;
2024;30B;29;2601;2700;206;0;191;14;206;202;
2024;30B;29;2701;2800;216;0;200;16;232;232;
2024;30B;29;2801;2900;218;0;200;18;262;262;
2024;30B;29;2901;3000;229;0;208;21;292;292;
2024;30B;29;3001;3100;239;0;216;23;322;322;
2024;30B;29;3101;3200;250;0;225;25;352;352;
2024;30B;29;3201;3300;260;0;233;27;382;382;
2024;30B;29;3301;3400;271;0;241;29;412;412;
2024;30B;29;3401;3500;273;0;241;31;442;442;
2024;30B;29;3501;3600;284;0;250;34;472;472;
2024;30B;29;3601;3700;294;0;258;36;502;502;
2024;30B;29;3701;3800;305;0;266;38;532;532;
2024;30B;29;3801;3900;315;0;275;40;562;562;
2024;30B;29;3901;4000;325;0;283;42;592;592;
2024;30B;29;4001;4100;328;0;283;44;622;622;
2024;30B;29;4101;4200;338;0;291;46;652;652;
2024;30B;29;4201;4300;349;0;300;49;682;682;
2024;30B;29;4301;4400;359;0;308;61;712;712;
2024;30B;29;4401;4500;370;0;316;81;742;742;
2024;30B;29;4501;4600;380;0;325;102;772;772;
2024;30B;29;4601;4700;382;0;325;122;802;802;
2024;30B;29;4701;4800;392;0;333;143;827;827;
2024;30B;29;4801;4900;403;0;341;163;852;852;
2024;30B;29;4901;5000;413;0;350;183;877;877;
2024;30B;29;5001;5100;423;0;358;203;899;899;
2024;30B;29;5101;5200;433;0;366;223;924;924;
2024;30B;29;5201;5300;443;0;375;243;947;947;
2024;30B;29;5301;5400;445;19;376;263;972;972;
2024;30B;29;5401;5500;455;42;386;283;997;997;
2024;30B;29;5501;5600;465;64;396;303;1019;1019;
