År;Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
2024;01 14;UPPLANDS VÄSBY;EDS FÖRSAMLING;32.967;32.077;19.42;12.38;0.277;0.89
2024;01 14;UPPLANDS VÄSBY;FRESTA FÖRSAMLING;32.877;32.077;19.42;12.38;0.277;0.8
2024;01 14;UPPLANDS VÄSBY;HAMMARBY FÖRSAMLING;32.917;32.077;19.42;12.38;0.277;0.84
2024;01 15;VALLENTUNA;VALLENTUNA FÖRSAMLING;32.497;31.557;18.9;12.38;0.277;0.94
2024;01 15;VALLENTUNA;ÖSSEBY FÖRSAMLING;32.702;31.557;18.9;12.38;0.277;1.145
2024;01 17;ÖSTERÅKER;LJUSTERÖ-KULLA FÖRSAMLING;29.997;29.257;16.6;12.38;0.277;0.74
2024;01 17;ÖSTERÅKER;ÖSTERÅKER-ÖSTRA RYDS FÖRSAMLING;29.997;29.257;16.6;12.38;0.277;0.74
2024;01 20;VÄRMDÖ;DJURÖ, MÖJA OCH NÄMDÖ FÖRSAMLING;32.807;31.637;18.98;12.38;0.277;1.17
2024;01 20;VÄRMDÖ;GUSTAVSBERG-INGARÖ FÖRSAMLING;32.507;31.637;18.98;12.38;0.277;0.87
2024;01 20;VÄRMDÖ;VÄRMDÖ FÖRSAMLING;32.507;31.637;18.98;12.38;0.277;0.87
2024;01 23;JÄRFÄLLA;JÄRFÄLLA FÖRSAMLING;32.587;31.897;19.24;12.38;0.277;0.69
2024;01 25;EKERÖ;ADELSÖ-MUNSÖ FÖRSAMLING;32.817;31.877;19.22;12.38;0.277;0.94
2024;01 25;EKERÖ;EKERÖ FÖRSAMLING;32.817;31.877;19.22;12.38;0.277;0.94
2024;01 25;EKERÖ;FÄRINGSÖ FÖRSAMLING;32.867;31.877;19.22;12.38;0.277;0.99
2024;01 25;EKERÖ;LOVÖ FÖRSAMLING;32.817;31.877;19.22;12.38;0.277;0.94
2024;01 26;HUDDINGE;FLEMINGSBERGS FÖRSAMLING;32.927;32.127;19.47;12.38;0.277;0.8
2024;01 26;HUDDINGE;HUDDINGE FÖRSAMLING;32.927;32.127;19.47;12.38;0.277;0.8
2024;01 26;HUDDINGE;S:T MIKAELS FÖRSAMLING;32.927;32.127;19.47;12.38;0.277;0.8
2024;01 26;HUDDINGE;TRÅNGSUND-SKOGÅS FÖRSAMLING;32.927;32.127;19.47;12.38;0.277;0.8
2024;01 27;BOTKYRKA;BOTKYRKA FÖRSAMLING;33.747;32.807;20.15;12.38;0.277;0.94
2024;01 27;BOTKYRKA;GRÖDINGE FÖRSAMLING;33.817;32.807;20.15;12.38;0.277;1.01
2024;01 28;SALEM;SALEMS FÖRSAMLING;33.166;32.327;19.67;12.38;0.277;0.839
2024;01 36;HANINGE;DALARÖ-ORNÖ-UTÖ FÖRSAMLING;33.187;32.337;19.68;12.38;0.277;0.85
2024;01 36;HANINGE;VÄSTERHANINGE-MUSKÖ FÖRSAMLING;33.187;32.337;19.68;12.38;0.277;0.85
2024;01 36;HANINGE;ÖSTERHANINGE FÖRSAMLING;33.187;32.337;19.68;12.38;0.277;0.85
2024;01 38;TYRESÖ;TYRESÖ FÖRSAMLING;32.977;32.157;19.5;12.38;0.277;0.82
2024;01 39;UPPLANDS-BRO;BRO FÖRSAMLING;33.047;32.057;19.4;12.38;0.277;0.99
2024;01 39;UPPLANDS-BRO;KUNGSÄNGEN-VÄSTRA RYDS FÖRSAMLING;32.937;32.057;19.4;12.38;0.277;0.88
2024;01 40;NYKVARN;TURINGE-TAXINGE FÖRSAMLING;33.697;32.627;19.97;12.38;0.277;1.07
2024;01 60;TÄBY;TÄBY FÖRSAMLING;30.987;30.207;17.55;12.38;0.277;0.78
2024;01 62;DANDERYD;DANDERYDS FÖRSAMLING;31.637;30.907;18.25;12.38;0.277;0.73
2024;01 63;SOLLENTUNA;SOLLENTUNA FÖRSAMLING;31.577;30.777;18.12;12.38;0.277;0.8
2024;01 80;STOCKHOLM;ADOLF FREDRIKS FÖRSAMLING;31.535;30.425;17.98;12.38;0.065;1.11
2024;01 80;STOCKHOLM;BROMMA FÖRSAMLING;31.195;30.425;17.98;12.38;0.065;0.77
2024;01 80;STOCKHOLM;BRÄNNKYRKA FÖRSAMLING;31.185;30.425;17.98;12.38;0.065;0.76
2024;01 80;STOCKHOLM;ENGELBREKTS FÖRSAMLING;31.215;30.425;17.98;12.38;0.065;0.79
2024;01 80;STOCKHOLM;ENSKEDE-ÅRSTA FÖRSAMLING;31.325;30.425;17.98;12.38;0.065;0.9
2024;01 80;STOCKHOLM;FARSTA FÖRSAMLING;31.295;30.425;17.98;12.38;0.065;0.87
2024;01 80;STOCKHOLM;FINSKA FÖRSAMLINGEN;31.365;30.425;17.98;12.38;0.065;0.94
2024;01 80;STOCKHOLM;GUSTAV VASA FÖRSAMLING;31.405;30.425;17.98;12.38;0.065;0.98
2024;01 80;STOCKHOLM;HEDVIG ELEONORA FÖRSAMLING;31.165;30.425;17.98;12.38;0.065;0.74
2024;01 80;STOCKHOLM;HOVFÖRSAMLINGEN;31.225;30.425;17.98;12.38;0.065;0.8
2024;01 80;STOCKHOLM;HÄGERSTENS FÖRSAMLING;31.19;30.425;17.98;12.38;0.065;0.765
2024;01 80;STOCKHOLM;HÄSSELBY FÖRSAMLING;31.225;30.425;17.98;12.38;0.065;0.8
2024;01 80;STOCKHOLM;HÖGALIDS FÖRSAMLING;31.395;30.425;17.98;12.38;0.065;0.97
2024;01 80;STOCKHOLM;KATARINA FÖRSAMLING;31.25;30.425;17.98;12.38;0.065;0.825
2024;01 80;STOCKHOLM;MARIA MAGDALENA FÖRSAMLING;31.295;30.425;17.98;12.38;0.065;0.87
2024;01 80;STOCKHOLM;OSCARS FÖRSAMLING;31.145;30.425;17.98;12.38;0.065;0.72
2024;01 80;STOCKHOLM;S:T JOHANNES FÖRSAMLING;31.415;30.425;17.98;12.38;0.065;0.99
2024;01 80;STOCKHOLM;S:T MATTEUS FÖRSAMLING;31.165;30.425;17.98;12.38;0.065;0.74
2024;01 80;STOCKHOLM;SKARPNÄCKS FÖRSAMLING;31.31;30.425;17.98;12.38;0.065;0.885
2024;01 80;STOCKHOLM;SKÄRHOLMENS FÖRSAMLING;31.525;30.425;17.98;12.38;0.065;1.1
2024;01 80;STOCKHOLM;SOFIA FÖRSAMLING;31.275;30.425;17.98;12.38;0.065;0.85
2024;01 80;STOCKHOLM;SPÅNGA-KISTA FÖRSAMLING;31.355;30.425;17.98;12.38;0.065;0.93
2024;01 80;STOCKHOLM;STOCKHOLMS DOMKYRKOFÖRSAMLING;31.455;30.425;17.98;12.38;0.065;1.03
2024;01 80;STOCKHOLM;TYSKA S:TA GERTRUDS FÖRSAMLING;31.205;30.425;17.98;12.38;0.065;0.78
2024;01 80;STOCKHOLM;VANTÖRS FÖRSAMLING;31.225;30.425;17.98;12.38;0.065;0.8
2024;01 80;STOCKHOLM;VÄLLINGBY FÖRSAMLING;31.225;30.425;17.98;12.38;0.065;0.8
2024;01 80;STOCKHOLM;VÄSTERLEDS FÖRSAMLING;31.185;30.425;17.98;12.38;0.065;0.76
2024;01 80;STOCKHOLM;VÄSTERMALMS FÖRSAMLING;31.125;30.425;17.98;12.38;0.065;0.7
2024;01 81;SÖDERTÄLJE;ENHÖRNA FÖRSAMLING;33.697;32.807;20.15;12.38;0.277;0.89
2024;01 81;SÖDERTÄLJE;HÖLÖ-MÖRKÖ FÖRSAMLING;33.917;32.807;20.15;12.38;0.277;1.11
2024;01 81;SÖDERTÄLJE;SÖDERTÄLJE FÖRSAMLING;33.697;32.807;20.15;12.38;0.277;0.89
2024;01 81;SÖDERTÄLJE;VÅRDINGE FÖRSAMLING;33.877;32.807;20.15;12.38;0.277;1.07
2024;01 81;SÖDERTÄLJE;YTTERJÄRNA FÖRSAMLING;33.877;32.807;20.15;12.38;0.277;1.07
2024;01 81;SÖDERTÄLJE;ÖSTERTÄLJE FÖRSAMLING;33.697;32.807;20.15;12.38;0.277;0.89
2024;01 81;SÖDERTÄLJE;ÖVERJÄRNA FÖRSAMLING;33.877;32.807;20.15;12.38;0.277;1.07
2024;01 82;NACKA;BOO FÖRSAMLING;31.387;30.537;17.88;12.38;0.277;0.85
2024;01 82;NACKA;NACKA FÖRSAMLING;31.337;30.537;17.88;12.38;0.277;0.8
2024;01 82;NACKA;SALTSJÖBADENS FÖRSAMLING;31.417;30.537;17.88;12.38;0.277;0.88
2024;01 83;SUNDBYBERG;SUNDBYBERGS FÖRSAMLING;32.632;31.907;19.25;12.38;0.277;0.725
2024;01 84;SOLNA;SOLNA FÖRSAMLING;30.717;30.027;17.37;12.38;0.277;0.69
2024;01 86;LIDINGÖ;LIDINGÖ FÖRSAMLING;31.167;30.497;17.84;12.38;0.277;0.67
2024;01 87;VAXHOLM;VAXHOLMS FÖRSAMLING;32.807;31.957;19.3;12.38;0.277;0.85
2024;01 88;NORRTÄLJE;BLIDÖ FÖRSAMLING;33.437;32.377;19.72;12.38;0.277;1.06
