År;Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
2026;01 14;UPPLANDS VÄSBY;EDS FÖRSAMLING;32.902;32.042;19.42;12.33;0.292;0.86
2026;01 14;UPPLANDS VÄSBY;FRESTA FÖRSAMLING;32.902;32.042;19.42;12.33;0.292;0.86
2026;01 14;UPPLANDS VÄSBY;HAMMARBY FÖRSAMLING;32.902;32.042;19.42;12.33;0.292;0.86
2026;01 15;VALLENTUNA;VALLENTUNA FÖRSAMLING;32.462;31.522;18.9;12.33;0.292;0.94
2026;01 15;VALLENTUNA;ÖSSEBY FÖRSAMLING;32.667;31.522;18.9;12.33;0.292;1.145
2026;01 17;ÖSTERÅKER;LJUSTERÖ-KULLA FÖRSAMLING;29.962;29.222;16.6;12.33;0.292;0.74
2026;01 17;ÖSTERÅKER;ÖSTERÅKER-ÖSTRA RYDS FÖRSAMLING;29.962;29.222;16.6;12.33;0.292;0.74
2026;01 20;VÄRMDÖ;DJURÖ, MÖJA OCH NÄMDÖ FÖRSAMLING;32.872;31.602;18.98;12.33;0.292;1.27
2026;01 20;VÄRMDÖ;GUSTAVSBERG-INGARÖ FÖRSAMLING;32.472;31.602;18.98;12.33;0.292;0.87
2026;01 20;VÄRMDÖ;VÄRMDÖ FÖRSAMLING;32.472;31.602;18.98;12.33;0.292;0.87
2026;01 23;JÄRFÄLLA;JÄRFÄLLA FÖRSAMLING;32.502;31.812;19.19;12.33;0.292;0.69
2026;01 25;EKERÖ;ADELSÖ-MUNSÖ FÖRSAMLING;32.682;31.742;19.12;12.33;0.292;0.94
2026;01 25;EKERÖ;EKERÖ FÖRSAMLING;32.682;31.742;19.12;12.33;0.292;0.94
2026;01 25;EKERÖ;FÄRINGSÖ FÖRSAMLING;32.732;31.742;19.12;12.33;0.292;0.99
2026;01 25;EKERÖ;LOVÖ FÖRSAMLING;32.682;31.742;19.12;12.33;0.292;0.94
2026;01 26;HUDDINGE;FLEMINGSBERG-VÅRBY FÖRSAMLING;32.802;32.002;19.38;12.33;0.292;0.8
2026;01 26;HUDDINGE;HUDDINGE-SEGELTORPS FÖRSAMLING;32.802;32.002;19.38;12.33;0.292;0.8
2026;01 26;HUDDINGE;TRÅNGSUND-SKOGÅS FÖRSAMLING;32.802;32.002;19.38;12.33;0.292;0.8
2026;01 27;BOTKYRKA;BOTKYRKA FÖRSAMLING;33.462;32.522;19.9;12.33;0.292;0.94
2026;01 27;BOTKYRKA;GRÖDINGE FÖRSAMLING;33.542;32.522;19.9;12.33;0.292;1.02
2026;01 28;SALEM;SALEMS FÖRSAMLING;33.141;32.292;19.67;12.33;0.292;0.849
2026;01 36;HANINGE;DALARÖ-ORNÖ-UTÖ FÖRSAMLING;32.422;31.572;18.95;12.33;0.292;0.85
2026;01 36;HANINGE;VÄSTERHANINGE-MUSKÖ FÖRSAMLING;32.422;31.572;18.95;12.33;0.292;0.85
2026;01 36;HANINGE;ÖSTERHANINGE FÖRSAMLING;32.422;31.572;18.95;12.33;0.292;0.85
2026;01 38;TYRESÖ;TYRESÖ FÖRSAMLING;32.942;32.122;19.5;12.33;0.292;0.82
2026;01 39;UPPLANDS-BRO;BRO FÖRSAMLING;33.012;32.022;19.4;12.33;0.292;0.99
2026;01 39;UPPLANDS-BRO;KUNGSÄNGEN-VÄSTRA RYDS FÖRSAMLING;32.902;32.022;19.4;12.33;0.292;0.88
2026;01 40;NYKVARN;TURINGE-TAXINGE FÖRSAMLING;33.672;32.592;19.97;12.33;0.292;1.08
2026;01 60;TÄBY;TÄBY FÖRSAMLING;30.952;30.172;17.55;12.33;0.292;0.78
2026;01 62;DANDERYD;DANDERYDS FÖRSAMLING;31.602;30.872;18.25;12.33;0.292;0.73
2026;01 63;SOLLENTUNA;SOLLENTUNA FÖRSAMLING;31.542;30.742;18.12;12.33;0.292;0.8
2026;01 80;STOCKHOLM;ADOLF FREDRIKS FÖRSAMLING;31.8;30.62;18.22;12.33;0.07;1.18
2026;01 80;STOCKHOLM;BROMMA FÖRSAMLING;31.39;30.62;18.22;12.33;0.07;0.77
2026;01 80;STOCKHOLM;BRÄNNKYRKA FÖRSAMLING;31.5;30.62;18.22;12.33;0.07;0.88
2026;01 80;STOCKHOLM;ENGELBREKTS FÖRSAMLING;31.41;30.62;18.22;12.33;0.07;0.79
2026;01 80;STOCKHOLM;ENSKEDE-ÅRSTA FÖRSAMLING;31.52;30.62;18.22;12.33;0.07;0.9
2026;01 80;STOCKHOLM;FARSTA FÖRSAMLING;31.49;30.62;18.22;12.33;0.07;0.87
2026;01 80;STOCKHOLM;FINSKA FÖRSAMLINGEN;31.56;30.62;18.22;12.33;0.07;0.94
